h3_cell,timestamp,u,v
861952997ffffff,2018-08-01T00:00:00,4.9964,2.0243
861952997ffffff,2018-08-01T01:00:00,5.1128,1.7577
861952997ffffff,2018-08-01T02:00:00,5.2415,1.5054
861952997ffffff,2018-08-01T03:00:00,5.3837,1.2681
861952997ffffff,2018-08-01T04:00:00,5.5409,1.0467
861952997ffffff,2018-08-01T05:00:00,5.7144,0.8423
861952997ffffff,2018-08-01T06:00:00,5.9053,0.6562
861952997ffffff,2018-08-01T07:00:00,6.1145,0.4901
861952997ffffff,2018-08-01T08:00:00,6.3427,0.3461
861952997ffffff,2018-08-01T09:00:00,6.59,0.2262
861952997ffffff,2018-08-01T10:00:00,6.8563,0.1329
861952997ffffff,2018-08-01T11:00:00,7.1408,0.0683
861952997ffffff,2018-08-01T12:00:00,7.4421,0.0345
861952997ffffff,2018-08-01T13:00:00,7.7585,0.0331
861952997ffffff,2018-08-01T14:00:00,8.0874,0.0653
861952997ffffff,2018-08-01T15:00:00,8.426,0.1314
861952997ffffff,2018-08-01T16:00:00,8.7708,0.2311
861952997ffffff,2018-08-01T17:00:00,9.1184,0.3632
861952997ffffff,2018-08-01T18:00:00,9.4648,0.5256
861952997ffffff,2018-08-01T19:00:00,9.8064,0.7154
861952997ffffff,2018-08-01T20:00:00,10.1396,0.929
861952997ffffff,2018-08-01T21:00:00,10.4611,1.1626
861952997ffffff,2018-08-01T22:00:00,10.7679,1.4117
861952997ffffff,2018-08-01T23:00:00,11.0574,1.6723
861952997ffffff,2018-08-02T00:00:00,11.3272,1.9404
861952997ffffff,2018-08-02T01:00:00,11.5753,2.2123
861952997ffffff,2018-08-02T02:00:00,11.7998,2.4851
861952997ffffff,2018-08-02T03:00:00,11.999,2.7569
861952997ffffff,2018-08-02T04:00:00,12.1711,3.0263
861952997ffffff,2018-08-02T05:00:00,12.3145,3.293
861952997ffffff,2018-08-02T06:00:00,12.4273,3.5572
861952997ffffff,2018-08-02T07:00:00,12.5075,3.8202
861952997ffffff,2018-08-02T08:00:00,12.5532,4.0832
861952997ffffff,2018-08-02T09:00:00,12.5622,4.3481
861952997ffffff,2018-08-02T10:00:00,12.5325,4.6165
861952997ffffff,2018-08-02T11:00:00,12.462,4.8898
861952997ffffff,2018-08-02T12:00:00,12.349,5.1685
861952997ffffff,2018-08-02T13:00:00,12.1919,5.4527
861952997ffffff,2018-08-02T14:00:00,11.9897,5.7411
861952997ffffff,2018-08-02T15:00:00,11.7421,6.0314
861952997ffffff,2018-08-02T16:00:00,11.4494,6.32
861952997ffffff,2018-08-02T17:00:00,11.1131,6.6023
861952997ffffff,2018-08-02T18:00:00,10.7358,6.8727
861952997ffffff,2018-08-02T19:00:00,10.3213,7.1249
861952997ffffff,2018-08-02T20:00:00,9.875,7.3525
861952997ffffff,2018-08-02T21:00:00,9.4034,7.5489
861952997ffffff,2018-08-02T22:00:00,8.9142,7.7083
861952997ffffff,2018-08-02T23:00:00,8.4161,7.8256
861952997ffffff,2018-08-03T00:00:00,7.9182,7.8971
861952997ffffff,2018-08-03T01:00:00,7.4301,7.9206
861952997ffffff,2018-08-03T02:00:00,6.9608,7.8952
861952997ffffff,2018-08-03T03:00:00,6.5187,7.8219
861952997ffffff,2018-08-03T04:00:00,6.1111,7.7027
861952997ffffff,2018-08-03T05:00:00,5.7439,7.541
861952997ffffff,2018-08-03T06:00:00,5.4211,7.3409
861952997ffffff,2018-08-03T07:00:00,5.145,7.1071
861952997ffffff,2018-08-03T08:00:00,4.9162,6.8444
861952997ffffff,2018-08-03T09:00:00,4.7337,6.5576
861952997ffffff,2018-08-03T10:00:00,4.5951,6.2514
861952997ffffff,2018-08-03T11:00:00,4.4967,5.9301
861952997ffffff,2018-08-03T12:00:00,4.4342,5.5976
861952997ffffff,2018-08-03T13:00:00,4.403,5.2574
861952997ffffff,2018-08-03T14:00:00,4.3981,4.9129
861952997ffffff,2018-08-03T15:00:00,4.4151,4.5669
861952997ffffff,2018-08-03T16:00:00,4.4496,4.2224
861952997ffffff,2018-08-03T17:00:00,4.4984,3.8817
861952997ffffff,2018-08-03T18:00:00,4.5587,3.5471
861952997ffffff,2018-08-03T19:00:00,4.6287,3.2205
861952997ffffff,2018-08-03T20:00:00,4.7075,2.9038
861952997ffffff,2018-08-03T21:00:00,4.7947,2.5981
861952997ffffff,2018-08-03T22:00:00,4.8907,2.3047
861952997ffffff,2018-08-03T23:00:00,4.9964,2.0243
861952987ffffff,2018-08-01T00:00:00,3.486,1.425
861952987ffffff,2018-08-01T01:00:00,3.5729,1.2393
861952987ffffff,2018-08-01T02:00:00,3.6773,1.0654
861952987ffffff,2018-08-01T03:00:00,3.8005,0.9025
861952987ffffff,2018-08-01T04:00:00,3.9433,0.7501
861952987ffffff,2018-08-01T05:00:00,4.1065,0.6081
861952987ffffff,2018-08-01T06:00:00,4.2903,0.4769
861952987ffffff,2018-08-01T07:00:00,4.4951,0.3577
861952987ffffff,2018-08-01T08:00:00,4.7206,0.252
861952987ffffff,2018-08-01T09:00:00,4.9664,0.1618
861952987ffffff,2018-08-01T10:00:00,5.232,0.0896
861952987ffffff,2018-08-01T11:00:00,5.5161,0.0379
861952987ffffff,2018-08-01T12:00:00,5.8173,0.0092
861952987ffffff,2018-08-01T13:00:00,6.1337,0.0058
861952987ffffff,2018-08-01T14:00:00,6.4628,0.0297
861952987ffffff,2018-08-01T15:00:00,6.8017,0.0821
861952987ffffff,2018-08-01T16:00:00,7.1472,0.1636
861952987ffffff,2018-08-01T17:00:00,7.4957,0.2739
861952987ffffff,2018-08-01T18:00:00,7.8437,0.4118
861952987ffffff,2018-08-01T19:00:00,8.1874,0.5754
861952987ffffff,2018-08-01T20:00:00,8.5232,0.762
861952987ffffff,2018-08-01T21:00:00,8.8479,0.9682
861952987ffffff,2018-08-01T22:00:00,9.1582,1.1903
861952987ffffff,2018-08-01T23:00:00,9.4515,1.4245
861952987ffffff,2018-08-02T00:00:00,9.7255,1.6671
861952987ffffff,2018-08-02T01:00:00,9.9779,1.9145
861952987ffffff,2018-08-02T02:00:00,10.2069,2.1638
861952987ffffff,2018-08-02T03:00:00,10.4108,2.4126
861952987ffffff,2018-08-02T04:00:00,10.588,2.6594
861952987ffffff,2018-08-02T05:00:00,10.7367,2.9033
861952987ffffff,2018-08-02T06:00:00,10.8554,3.1441
861952987ffffff,2018-08-02T07:00:00,10.9422,3.3824
861952987ffffff,2018-08-02T08:00:00,10.9954,3.6191
861952987ffffff,2018-08-02T09:00:00,11.0132,3.8554
861952987ffffff,2018-08-02T10:00:00,10.9938,4.0926
861952987ffffff,2018-08-02T11:00:00,10.9354,4.3317
861952987ffffff,2018-08-02T12:00:00,10.8367,4.5731
861952987ffffff,2018-08-02T13:00:00,10.6964,4.8167
861952987ffffff,2018-08-02T14:00:00,10.5137,5.0613
861952987ffffff,2018-08-02T15:00:00,10.2885,5.305
861952987ffffff,2018-08-02T16:00:00,10.0215,5.5445
861952987ffffff,2018-08-02T17:00:00,9.7141,5.7759
861952987ffffff,2018-08-02T18:00:00,9.3689,5.9942
861952987ffffff,2018-08-02T19:00:00,8.9896,6.1939
861952987ffffff,2018-08-02T20:00:00,8.5811,6.3695
861952987ffffff,2018-08-02T21:00:00,8.1495,6.5153
861952987ffffff,2018-08-02T22:00:00,7.7017,6.6263
861952987ffffff,2018-08-02T23:00:00,7.2455,6.6982
861952987ffffff,2018-08-03T00:00:00,6.7893,6.728
861952987ffffff,2018-08-03T01:00:00,6.3413,6.7139
861952987ffffff,2018-08-03T02:00:00,5.9096,6.6557
861952987ffffff,2018-08-03T03:00:00,5.5015,6.5544
861952987ffffff,2018-08-03T04:00:00,5.123,6.4124
861952987ffffff,2018-08-03T05:00:00,4.7791,6.2333
861952987ffffff,2018-08-03T06:00:00,4.473,6.0211
861952987ffffff,2018-08-03T07:00:00,4.2063,5.7806
861952987ffffff,2018-08-03T08:00:00,3.9791,5.5169
861952987ffffff,2018-08-03T09:00:00,3.7901,5.2348
861952987ffffff,2018-08-03T10:00:00,3.6368,4.9392
861952987ffffff,2018-08-03T11:00:00,3.5158,4.6347
861952987ffffff,2018-08-03T12:00:00,3.4235,4.3254
861952987ffffff,2018-08-03T13:00:00,3.3556,4.0152
861952987ffffff,2018-08-03T14:00:00,3.3084,3.7076
861952987ffffff,2018-08-03T15:00:00,3.2784,3.4057
861952987ffffff,2018-08-03T16:00:00,3.2629,3.1124
861952987ffffff,2018-08-03T17:00:00,3.2598,2.8298
861952987ffffff,2018-08-03T18:00:00,3.268,2.5599
861952987ffffff,2018-08-03T19:00:00,3.287,2.3039
861952987ffffff,2018-08-03T20:00:00,3.3173,2.0624
861952987ffffff,2018-08-03T21:00:00,3.3597,1.8357
861952987ffffff,2018-08-03T22:00:00,3.4155,1.6235
861952987ffffff,2018-08-03T23:00:00,3.486,1.425
8619529afffffff,2018-08-01T00:00:00,5.4572,2.251
8619529afffffff,2018-08-01T01:00:00,5.5865,1.9556
8619529afffffff,2018-08-01T02:00:00,5.726,1.6741
